StateCount, 0AvgG, 1AvgG, 0AvgE, 1AvgE, 0AvgB, 1AvgB, 0VarG, 1VarG, 0VarE, 1VarE, 0VarB, 1VarB
50,0.005,0.0025,1.185,1.1825,1.645,1.6325,0.004987468671679198,0.0025125,0.1812280701754386,0.1815974246231156,0.44508771929824564,0.41792456030150754
101,0.055,0.055,149.6225,149.365,152.915,152.6425,0.05210526315789474,0.05222858040201005,2143.03257518797,2142.9556281249997,2154.774711779449,2155.343172801508
501,2.0875,2.0825,740.02,738.355,745.7575,744.075,0.2755325814536341,0.2762056375628141,2741.814135338346,2734.936883417085,2754.8758834586465,2748.4970444566584
1001,4.5225,4.5125,1443.485,1439.7,1451.76,1447.95,0.9017481203007519,0.9033278737437185,5868.315563909775,5870.566695414573,5899.135238095238,5900.845081407035
5001,19.64,19.5925,7052.24,7034.6175,7075.535,7057.85,16.58185463659148,16.622488442211054,127665.10015037595,127985.84035778894,128326.99125313283,128649.41495923366
10001,26.785,26.56,14057.555,13988.935,14087.995,14019.05,29.79776381909548,28.272569570707073,320047.36379396985,321101.85079280304,322266.8190703517,323442.92416654044
50001,92.2,77.0,69897.6,63020.5,69994.0,63101.3,684.6222222222223,323.19500000000005,4847181.377777778,5294425.604999998,4839808.0,5302472.875
100001,148.2,132.4,139045.6,125319.0,139198.6,125455.6,119.5111111111111,122.44499999999996,1.8690349155555557E7,2.0630770779999997E7,1.8632156711111113E7,2.0570183054999996E7
